name,description,Alma,Trois-Rivières,Cornwall,Charlottetown,Cranbrook,Sorel-Tracy,Fredericton,Val-d'Or,Pembroke,Edmundston,St. Catharines,Barrie,Thunder Bay,Moncton,Campbell River,Red Deer,Sault Ste. Marie,Corner Brook,Guelph,Victoria,Joliette,Québec,Penticton,Timmins,Midland,Malahat,London,Toronto,Sydney,Kelowna,Vancouver,Sherbrooke,Regina,Brockville,Courtenay,Saint-Jean-sur-Richelieu,Campbellton,Fort McMurray,Owen Sound,Prince Rupert,Greater Sudbury,Baie-Comeau,Stratford,Halifax,Gander,Peterborough,Saint-Hyacinthe,Cold Lake,Fort St. John,Summerside,Williams Lake,Bathurst,Port Alberni,North Bay,Lethbridge,Swift Current,Woodstock,Sept-Îles,Kenora,Grande Prairie,Thompson,Rouyn-Noranda,Kamloops,Nanaimo,Calgary,Prince Albert,Edmonton,Moose Jaw,Rivière-du-Loup,Truro,Whitehorse,Yellowknife,Windsor,Drummondville,Kingston,Winnipeg,Oshawa,Hamilton,Rimouski,Estevan,Chilliwack,Brantford,Saguenay,Abbotsford,Kentville,Portage la Prairie,Saskatoon,Belleville,Brandon,Yorkton,St. John's,Sarnia,Vernon,Medicine Hat,Saint John,Ottawa (Kanata - Orléans),Montréal,Shawinigan,Prince George,Kitchener-Waterloo
Hottest summer,the highest average afternoon temperature in June July and August.,22.49,24.25,25.30,21.80,24.16,25.28,24.37,22.06,24.69,22.11,25.76,24.09,22.65,23.18,21.93,21.46,22.69,20.23,24.55,21.08,25.17,23.55,26.72,22.77,24.34,22.41,25.09,25.38,21.54,26.25,20.92,23.37,24.70,24.32,21.42,24.97,22.15,22.17,23.23,15.67,23.28,19.52,24.26,21.09,19.72,24.85,25.21,21.91,20.23,22.04,20.97,23.17,23.28,22.44,24.38,23.91,25.25,18.26,23.09,21.23,21.11,22.11,26.94,22.89,21.87,22.91,21.98,25.39,21.58,22.75,19.16,19.14,26.62,24.65,23.40,24.70,23.63,25.03,21.85,25.29,23.29,25.65,23.03,22.52,23.52,24.89,23.97,25.19,24.26,23.31,18.67,25.04,25.29,25.79,21.38,25.06,24.76,23.86,21.10,24.67
Coldest winter,the lowest average night-time temperature in December January and February.,-19.18,-15.27,-10.97,-11.00,-10.34,-14.10,-13.66,-21.43,-17.28,-15.65,-6.50,-10.63,-18.81,-12.60,-1.47,-17.45,-13.67,-8.84,-10.03,1.01,-14.33,-15.66,-3.64,-21.28,-11.04,-0.48,-8.74,-8.95,-8.97,-6.43,0.92,-16.07,-19.08,-10.57,0.76,-12.59,-15.78,-21.74,-8.08,-1.29,-16.37,-17.78,-8.80,-7.88,-10.58,-12.45,-13.40,-19.62,-16.51,-10.64,-10.99,-14.27,-0.09,-15.81,-12.17,-15.04,-8.76,-18.67,-19.36,-18.51,-28.22,-23.25,-6.04,-0.37,-13.47,-22.54,-14.34,-16.91,-14.64,-10.82,-19.93,-28.90,-6.61,-13.39,-10.68,-20.19,-7.58,-8.34,-13.70,-17.52,0.31,-8.47,-19.26,0.01,-8.58,-19.32,-19.93,-9.72,-20.93,-20.61,-7.81,-7.61,-6.85,-13.81,-11.99,-13.23,-13.02,-15.78,-11.76,-9.68
Coolest summer,the lowest average afternoon temperature in June July and August.,22.49,24.25,25.30,21.80,24.16,25.28,24.37,22.06,24.69,22.11,25.76,24.09,22.65,23.18,21.93,21.46,22.69,20.23,24.55,21.08,25.17,23.55,26.72,22.77,24.34,22.41,25.09,25.38,21.54,26.25,20.92,23.37,24.70,24.32,21.42,24.97,22.15,22.17,23.23,15.67,23.28,19.52,24.26,21.09,19.72,24.85,25.21,21.91,20.23,22.04,20.97,23.17,23.28,22.44,24.38,23.91,25.25,18.26,23.09,21.23,21.11,22.11,26.94,22.89,21.87,22.91,21.98,25.39,21.58,22.75,19.16,19.14,26.62,24.65,23.40,24.70,23.63,25.03,21.85,25.29,23.29,25.65,23.03,22.52,23.52,24.89,23.97,25.19,24.26,23.31,18.67,25.04,25.29,25.79,21.38,25.06,24.76,23.86,21.10,24.67
Mildest winter,the highest average afternoon temperature in December January and February.,-8.93,-5.22,-3.00,-2.23,-1.60,-4.33,-2.46,-9.03,-4.99,-6.51,0.71,-2.47,-6.77,-2.34,5.43,-5.35,-3.94,-1.82,-2.25,7.40,-4.63,-6.24,2.23,-8.76,-2.27,6.81,-1.07,-0.76,-0.52,1.23,6.77,-4.12,-8.43,-2.25,6.27,-3.47,-5.86,-10.93,-1.06,5.20,-6.51,-7.07,-1.94,0.76,-2.46,-2.05,-4.02,-9.35,-7.95,-2.22,-2.52,-4.58,5.44,-6.15,-0.15,-5.68,-0.97,-8.02,-10.11,-7.50,-16.61,-9.41,0.98,6.85,-1.41,-10.70,-5.42,-6.45,-6.79,-0.45,-10.83,-20.32,0.52,-4.17,-1.82,-10.31,-0.17,-0.82,-5.87,-7.03,6.45,-0.49,-8.35,6.73,-0.19,-9.27,-9.59,-1.20,-10.15,-10.28,-0.38,-0.39,-0.54,-2.38,-1.42,-4.42,-4.19,-5.82,-3.43,-1.77
Coldest spring,the lowest average daily temperature in March April and May.,1.70,4.48,6.38,2.88,6.47,5.20,4.33,0.71,3.97,2.90,7.29,5.27,2.29,3.38,7.89,3.30,2.92,2.48,5.62,9.00,5.20,3.30,9.11,1.02,5.46,8.76,6.36,6.22,2.40,8.11,9.43,3.75,3.71,5.94,8.81,5.56,1.71,2.43,5.15,6.18,3.04,0.28,5.80,4.18,1.37,5.37,5.60,3.17,3.18,3.11,4.82,2.86,8.65,3.22,5.67,4.37,6.40,-0.40,3.27,3.16,-2.83,0.46,9.65,9.05,4.16,2.04,4.86,4.54,1.96,3.95,0.41,-5.67,8.38,5.32,5.20,3.31,6.25,6.30,2.71,4.41,10.19,6.93,1.86,9.60,4.99,3.68,3.36,6.62,2.81,2.27,1.74,6.60,8.16,6.34,3.48,5.56,5.52,4.04,4.93,5.69
Coldest year-round,the lowest average of all daily temperatures for the year.,2.30,4.86,7.16,5.30,5.74,5.88,5.33,1.15,4.14,3.52,8.84,6.47,2.47,5.06,8.64,2.36,4.33,5.06,6.50,9.72,5.60,4.04,9.15,1.34,6.79,9.40,7.47,7.50,5.53,7.73,10.08,4.10,2.83,7.06,9.68,6.33,3.17,0.72,7.11,7.12,3.68,1.50,6.95,6.67,3.83,5.93,6.17,1.74,2.00,5.58,4.19,4.48,9.45,3.76,5.65,3.92,7.52,0.79,2.68,1.89,-3.17,0.87,8.87,9.82,4.07,0.93,3.94,3.96,3.24,5.81,-0.69,-4.58,9.44,5.92,6.67,2.62,7.74,7.64,3.91,3.74,10.51,8.00,2.34,10.01,6.94,3.07,2.23,7.72,1.94,1.60,4.67,8.05,7.43,5.67,5.03,6.00,6.06,4.50,3.95,6.71
Warmest year-round,the highest average of all daily temperatures for the year.,2.30,4.86,7.16,5.30,5.74,5.88,5.33,1.15,4.14,3.52,8.84,6.47,2.47,5.06,8.64,2.36,4.33,5.06,6.50,9.72,5.60,4.04,9.15,1.34,6.79,9.40,7.47,7.50,5.53,7.73,10.08,4.10,2.83,7.06,9.68,6.33,3.17,0.72,7.11,7.12,3.68,1.50,6.95,6.67,3.83,5.93,6.17,1.74,2.00,5.58,4.19,4.48,9.45,3.76,5.65,3.92,7.52,0.79,2.68,1.89,-3.17,0.87,8.87,9.82,4.07,0.93,3.94,3.96,3.24,5.81,-0.69,-4.58,9.44,5.92,6.67,2.62,7.74,7.64,3.91,3.74,10.51,8.00,2.34,10.01,6.94,3.07,2.23,7.72,1.94,1.60,4.67,8.05,7.43,5.67,5.03,6.00,6.06,4.50,3.95,6.71
Most freezing days,the greatest number of days annually with the lowest temperature at or below 0°C.,191.74,172.28,144.68,165.79,176.20,159.94,177.98,207.18,188.76,184.06,129.23,153.66,203.28,178.02,106.40,211.42,177.71,159.17,161.02,52.61,166.15,175.88,116.01,210.49,151.20,91.25,147.96,146.21,168.02,157.84,45.89,189.04,199.63,143.44,57.68,155.89,193.40,208.38,141.38,88.42,182.29,197.33,154.10,141.70,185.96,171.92,156.63,199.20,185.14,160.57,187.60,180.30,74.48,180.00,173.73,188.58,152.45,202.05,183.27,198.00,239.85,215.83,125.16,80.23,195.95,211.04,178.56,189.43,183.41,171.79,225.00,222.24,122.81,159.64,145.69,194.03,131.77,142.11,172.99,192.50,54.39,144.53,193.88,61.87,151.69,188.99,198.89,139.45,203.53,202.14,173.97,137.68,147.39,176.37,168.59,159.23,154.96,173.76,186.56,160.40
Fewest freezing days,the fewest number of days annually with the lowest temperature at or below 0 °C.,191.74,172.28,144.68,165.79,176.20,159.94,177.98,207.18,188.76,184.06,129.23,153.66,203.28,178.02,106.40,211.42,177.71,159.17,161.02,52.61,166.15,175.88,116.01,210.49,151.20,91.25,147.96,146.21,168.02,157.84,45.89,189.04,199.63,143.44,57.68,155.89,193.40,208.38,141.38,88.42,182.29,197.33,154.10,141.70,185.96,171.92,156.63,199.20,185.14,160.57,187.60,180.30,74.48,180.00,173.73,188.58,152.45,202.05,183.27,198.00,239.85,215.83,125.16,80.23,195.95,211.04,178.56,189.43,183.41,171.79,225.00,222.24,122.81,159.64,145.69,194.03,131.77,142.11,172.99,192.50,54.39,144.53,193.88,61.87,151.69,188.99,198.89,139.45,203.53,202.14,173.97,137.68,147.39,176.37,168.59,159.23,154.96,173.76,186.56,160.40
Most hot days (30°C or above),the greatest number of days annually with a daily high temperature of 30°C or above.,4.92,4.76,9.43,0.71,15.37,9.33,9.20,3.80,11.79,2.04,13.67,5.79,5.83,4.06,5.29,2.85,3.74,0.60,6.02,1.48,9.48,4.59,25.86,6.40,6.15,4.76,8.11,12.62,2.37,25.00,0.20,3.41,15.72,3.17,2.30,7.59,3.87,4.90,4.06,0.00,5.37,0.17,5.44,0.90,0.67,7.18,8.61,2.61,0.62,0.96,3.59,5.80,11.88,1.62,15.83,13.50,8.27,0.28,5.45,2.34,3.65,1.50,29.28,7.41,4.48,5.47,3.24,20.22,0.57,1.40,0.53,0.53,20.68,7.90,2.39,13.45,2.84,9.07,1.95,19.46,8.50,11.34,7.06,7.25,3.49,15.96,11.31,6.09,11.93,8.07,0.16,14.12,17.72,23.63,0.79,11.33,7.51,4.19,2.71,6.87
